"Tahmin Tarihi","Kurum","Analist","Format","Varlık","Vade","Hedef Tarihi","Hedef Fiyat","Analiz Tezi","Benchmark","Tahmin tarihindeki Fiyat","Beklenen Getiri %","Gerçekleşen Fiyat","Gerçekleşen Getiri %","Hedef Yön","Öneri","Yön İsabeti","Hedef Yakınlığı","Tahmin Doğruluğu","Error (MAPE)","Başarı Skoru","Ref. Beklenen Getiri %","Ref. Gerçekleşen Getiri %","Alpha","RefAlpha"
"2026-01-19","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+6M","2026-07-19","12.1000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","11.7300","+3.15%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-01-19","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+12M","2027-01-19","12.3000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","11.7300","+4.86%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-02-17","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+1M","2026-03-17","11.3000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","11.2600","+0.36%","10.9900","-2.40%","Yukarı","Slightly Bullish","0","72.6","0","2.74%","36.1 (F)","-3.93%","-2.40%","+4.28%","+12.06"
"2026-02-17","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+3M","2026-05-17","11.3000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","11.2600","+0.36%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-02-17","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+6M","2026-08-17","11.6000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","11.2600","+3.02%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-02-17","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+12M","2027-02-17","11.8000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","11.2600","+4.80%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+1M","2026-04-20","11.0000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","10.9900","+0.09%","11.1010","+1.01%","Sabit","Neutral","0","90.8","0","0.92%","39.7 (F)","-2.35%","+1.01%","+2.44%","+26.78"
"2026-03-20","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+3M","2026-06-20","11.0000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","10.9900","+0.09%","⏳","⏳","Sabit","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+6M","2026-09-20","11.3000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","10.9900","+2.82%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Kristoffer Kjær Lomholt","PDF","EUR/NOK","+12M","2027-03-20","11.5000","NOK yapısal zayıf, petrol desteği geçici, EUR/NOK yükseliş beklentisi","EUR/NOK","10.9900","+4.64%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-06-23","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+1M","2025-07-23","7.4600","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4594","+0.01%","7.4650","+0.08%","Sabit","Neutral","1","99.3","100","0.07%","89.8 (A)","+0.00%","+0.08%","+0.01%","+0.16"
"2025-06-23","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+3M","2025-09-23","7.4575","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4594","-0.03%","7.4713","+0.16%","Sabit","Neutral","1","98.1","100","0.19%","89.4 (A)","-0.00%","+0.16%","-0.02%","-0.46"
"2025-06-23","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+6M","2025-12-23","7.4550","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4594","-0.06%","7.4702","+0.14%","Sabit","Neutral","1","98.0","100","0.20%","89.3 (A)","+0.01%","+0.14%","-0.06%","-1.09"
"2025-06-23","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+12M","2026-06-23","7.4550","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4594","-0.06%","⏳","⏳","Sabit","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-07-22","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+1M","2025-08-22","7.4600","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4650","-0.07%","7.4685","+0.05%","Sabit","Neutral","1","98.9","100","0.11%","89.5 (A)","+0.07%","+0.05%","-0.14%","-2.06"
"2025-07-22","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+3M","2025-10-22","7.4575","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4650","-0.10%","7.4694","+0.06%","Aşağı","Slightly Bearish","0","98.4","0","0.16%","39.4 (F)","-0.01%","+0.06%","-0.09%","-0.92"
"2025-07-22","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+6M","2026-01-22","7.4550","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4650","-0.13%","7.4688","+0.05%","Aşağı","Slightly Bearish","0","98.1","0","0.19%","39.3 (F)","+0.05%","+0.05%","-0.18%","-1.38"
"2025-07-22","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+12M","2026-07-22","7.4550","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4650","-0.13%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-10-21","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+1M","2025-11-21","7.4675","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4685","-0.01%","7.4713","+0.04%","Sabit","Neutral","1","99.5","100","0.05%","89.8 (A)","+0.07%","+0.04%","-0.08%","-1.61"
"2025-10-21","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+3M","2026-01-21","7.4625","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4685","-0.08%","7.4705","+0.03%","Sabit","Neutral","1","98.9","100","0.11%","89.5 (A)","+0.05%","+0.03%","-0.13%","-1.63"
"2025-10-21","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+6M","2026-04-21","7.4575","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4685","-0.15%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-10-21","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+12M","2026-10-21","7.4550","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4685","-0.18%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+1M","2026-04-20","7.4725","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4713","+0.02%","7.4726","+0.02%","Sabit","Neutral","1","100.0","100","0.00%","90.0 (A)","-0.00%","+0.02%","+0.02%","+0.40"
"2026-03-20","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+3M","2026-06-20","7.4675","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4713","-0.05%","⏳","⏳","Sabit","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+6M","2026-09-20","7.4625","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4713","-0.12%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Jens Nærvig Pedersen","PDF","EUR/DKK","+12M","2027-03-20","7.4600","EUR/DKK peg baskısı, Danimarka MB müdahale eşiği yaklaşıyor","EUR/DKK","7.4713","-0.15%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-06-23","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2025-07-23","0.8500","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","-1.16%","0.8700","+1.16%","Aşağı","Slightly Bearish","0","76.5","0","2.35%","29.2 (F)","+2.60%","+1.16%","-3.76%","-3.24"
"2025-06-23","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2025-09-23","0.8600","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+0.00%","0.8700","+1.16%","Sabit","Neutral","0","88.4","0","1.16%","33.8 (F)","+2.67%","+1.16%","-2.67%","-53.36"
"2025-06-23","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2025-12-23","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+1.16%","0.8800","+2.33%","Yukarı","Slightly Bearish","1","88.5","75","1.15%","81.6 (B)","+3.62%","+2.33%","-2.46%","-2.11"
"2025-06-23","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-06-23","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+1.16%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-07-22","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2025-08-22","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+0.00%","0.8600","-1.15%","Sabit","Neutral","0","88.5","0","1.15%","34.6 (F)","+1.91%","-1.15%","-1.91%","-38.19"
"2025-07-22","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2025-10-22","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+1.15%","0.8700","+0.00%","Yukarı","Neutral","0","88.6","0","1.14%","36.4 (F)","+1.33%","+0.00%","-0.18%","-0.16"
"2025-07-22","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-01-22","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","0.8700","+0.00%","Yukarı","Neutral","0","77.5","0","2.25%","32.6 (F)","+3.00%","+0.00%","-0.70%","-0.31"
"2025-07-22","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-07-22","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-08-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2025-09-19","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+1.16%","0.8700","+1.16%","Yukarı","Slightly Bullish","1","100.0","100","0.00%","91.8 (A)","-0.65%","+1.16%","+1.81%","+1.56"
"2025-08-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2025-11-19","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+2.33%","0.8800","+2.33%","Yukarı","Neutral","1","100.0","100","0.00%","90.2 (A)","+2.15%","+2.33%","+0.18%","+0.08"
"2025-08-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-02-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+3.49%","0.8700","+1.16%","Yukarı","Neutral","1","77.5","75","2.25%","80.4 (B)","+3.82%","+1.16%","-0.33%","-0.09"
"2025-08-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-08-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+3.49%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-09-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2025-10-19","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+0.00%","0.8700","+0.00%","Sabit","Neutral","1","100.0","100","0.00%","89.3 (A)","+0.69%","+0.00%","-0.69%","-13.89"
"2025-09-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2025-12-19","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+1.15%","0.8800","+1.15%","Yukarı","Slightly Bearish","1","100.0","100","0.00%","89.3 (A)","+1.86%","+1.15%","-0.71%","-0.62"
"2025-09-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-03-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","0.8600","-1.15%","Yukarı","Slightly Bearish","0","66.3","0","3.37%","28.7 (F)","+3.48%","-1.15%","-1.18%","-0.51"
"2025-09-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-09-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-10-21","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2025-11-21","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+0.00%","0.8800","+1.15%","Sabit","Neutral","0","88.5","0","1.15%","36.6 (F)","-0.09%","+1.15%","+0.09%","+1.84"
"2025-10-21","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2026-01-21","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+1.15%","0.8700","+0.00%","Yukarı","Slightly Bullish","0","88.6","0","1.14%","37.2 (F)","+0.51%","+0.00%","+0.64%","+0.56"
"2025-10-21","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-04-21","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-10-21","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-10-21","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-11-18","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2025-12-18","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+0.00%","0.8800","+0.00%","Sabit","Neutral","1","100.0","100","0.00%","88.8 (A)","+1.21%","+0.00%","-1.21%","-24.15"
"2025-11-18","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2026-02-18","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+1.14%","0.8700","-1.14%","Yukarı","Slightly Bearish","0","77.5","0","2.25%","32.3 (F)","+2.08%","-1.14%","-0.94%","-0.83"
"2025-11-18","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-05-18","0.9000","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+2.27%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-11-18","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-11-18","0.9000","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+2.27%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-12-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2026-01-19","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+0.00%","0.8700","-1.14%","Sabit","Neutral","0","88.6","0","1.14%","36.9 (F)","-0.31%","-1.14%","+0.31%","+6.12"
"2025-12-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2026-03-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+1.14%","0.8600","-2.27%","Yukarı","Neutral","0","66.3","0","3.37%","30.0 (F)","+1.06%","-2.27%","+0.08%","+0.07"
"2025-12-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-06-19","0.9000","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+2.27%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-12-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2026-12-19","0.9000","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8800","+2.27%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-01-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2026-02-19","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+0.00%","0.8700","+0.00%","Sabit","Neutral","1","100.0","100","0.00%","90.7 (A)","-0.68%","+0.00%","+0.68%","+13.70"
"2026-01-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2026-04-19","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+1.15%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-01-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-07-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-01-19","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2027-01-19","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-02-17","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2026-03-17","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+0.00%","0.8600","-1.15%","Sabit","Neutral","0","88.5","0","1.15%","36.2 (F)","+0.35%","-1.15%","-0.35%","-6.92"
"2026-02-17","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2026-05-17","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+1.15%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-02-17","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-08-17","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-02-17","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2027-02-17","0.8900","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8700","+2.30%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+1M","2026-04-20","0.8600","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+0.00%","0.8691","+1.06%","Sabit","Neutral","0","89.4","0","1.06%","38.3 (F)","-1.47%","+1.06%","+1.47%","+29.33"
"2026-03-20","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+3M","2026-06-20","0.8700","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+1.16%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+6M","2026-09-20","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+2.33%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2026-03-20","Danske Bank","Kirstine Kundby-Nielsen","PDF","EUR/GBP","+12M","2027-03-20","0.8800","İngiltere ekonomik zayıflığı, EUR/GBP yükseliş beklentisi","EUR/GBP","0.8600","+2.33%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+1M","2025-07-23","144.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-2.04%","147.0000","+0.00%","Aşağı","Bearish","0","79.2","0","2.08%","28.6 (F)","+3.10%","+0.00%","-5.14%","-2.52"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+3M","2025-09-23","142.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-3.40%","147.5000","+0.34%","Aşağı","Slightly Bearish","0","61.3","0","3.87%","26.1 (F)","-1.14%","+0.34%","-2.26%","-0.67"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+6M","2025-12-23","139.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-5.44%","157.0000","+6.80%","Aşağı","Neutral","0","0.0","0","12.95%","11.0 (F)","-6.48%","+6.80%","+1.04%","+0.19"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+12M","2026-06-23","135.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-8.16%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+1M","2025-08-22","148.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","+0.68%","147.0000","+0.00%","Yukarı","Neutral","0","93.2","0","0.68%","37.7 (F)","+0.95%","+0.00%","-0.27%","-0.40"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+3M","2025-10-22","146.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-0.68%","150.0000","+2.04%","Aşağı","Bearish","0","72.6","0","2.74%","26.4 (F)","+4.75%","+2.04%","-5.43%","-7.98"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+6M","2026-01-22","143.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-2.72%","159.0000","+8.16%","Aşağı","Slightly Bullish","0","0.0","0","11.19%","12.9 (F)","-5.66%","+8.16%","+2.94%","+1.08"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+12M","2026-07-22","139.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-5.44%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+1M","2025-09-19","146.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-0.68%","147.5000","+0.34%","Aşağı","Neutral","0","89.7","0","1.03%","37.2 (F)","-0.97%","+0.34%","+0.29%","+0.43"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+3M","2025-11-19","143.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-2.72%","155.0000","+5.44%","Aşağı","Slightly Bearish","0","16.1","0","8.39%","10.7 (F)","+1.40%","+5.44%","-4.12%","-1.52"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+6M","2026-02-19","140.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-4.76%","153.0000","+4.08%","Aşağı","Neutral","0","7.1","0","9.29%","10.6 (F)","-3.18%","+4.08%","-1.59%","-0.33"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+12M","2026-08-19","138.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.0000","-6.12%","⏳","⏳","Aşağı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-09-19","Danske Bank","Mohamad Al-Saraf","PDF","USD/JPY","+1M","2025-10-19","146.0000","Yen güçlenme beklentisi, USD/JPY düşüş trendi","USD/JPY","147.5000","-1.02%","150.0000","+1.69%","Aşağı","Slightly Bearish","0","72.6","0","2.74%","31.0 (F)","-0.21%","+1.69%","-0.81%","-0.79"
